t,x,y
0.64700,4.21193,2.85547
0.64800,4.21844,2.85563
0.64900,4.22495,2.85577
0.65000,4.23146,2.85590
0.65100,4.23796,2.85603
0.65200,4.24447,2.85614
0.65300,4.25098,2.85625
0.65400,4.25749,2.85634
0.65500,4.26400,2.85642
0.65600,4.27051,2.85650
0.65700,4.27702,2.85656
0.65800,4.28353,2.85662
0.65900,4.29004,2.85666
0.66000,4.29655,2.85670
0.66100,4.30306,2.85672
0.66200,4.30957,2.85674
0.66300,4.31608,2.85675
0.66400,4.32259,2.85674
0.66500,4.32910,2.85673
0.66600,4.33561,2.85671
0.66700,4.34212,2.85667
0.66800,4.34863,2.85663
0.66900,4.35514,2.85658
0.67000,4.36165,2.85651
0.67100,4.36816,2.85644
0.67200,4.37467,2.85636
0.67300,4.38118,2.85627
0.67400,4.38769,2.85616
0.67500,4.39420,2.85605
0.67600,4.40071,2.85593
0.67700,4.40722,2.85580
0.67800,4.41373,2.85566
0.67900,4.42024,2.85551
0.68000,4.42675,2.85535
0.68100,4.43326,2.85517
0.68200,4.43977,2.85499
0.68300,4.44628,2.85480
0.68400,4.45279,2.85460
0.68500,4.45930,2.85439
0.68600,4.46581,2.85417
0.68700,4.47232,2.85394
0.68800,4.47883,2.85371
0.68900,4.48534,2.85346
0.69000,4.49185,2.85320
0.69100,4.49836,2.85293
0.69200,4.50487,2.85265
0.69300,4.51138,2.85236
0.69400,4.51789,2.85206
0.69500,4.52440,2.85176
0.69600,4.53091,2.85144
0.69700,4.53742,2.85111
0.69800,4.54393,2.85077
0.69900,4.55044,2.85043
0.70000,4.55695,2.85007
0.70100,4.56346,2.84970
0.70200,4.56997,2.84932
0.70300,4.57648,2.84894
0.70400,4.58299,2.84854
0.70500,4.58950,2.84814
0.70600,4.59601,2.84772
0.70700,4.60252,2.84729
0.70800,4.60903,2.84686
0.70900,4.61554,2.84641
0.71000,4.62205,2.84596
0.71100,4.62856,2.84549
0.71200,4.63507,2.84502
0.71300,4.64158,2.84453
0.71400,4.64809,2.84404
0.71500,4.65460,2.84353
0.71600,4.66111,2.84302
0.71700,4.66762,2.84250
